Kanalnummer	Impulse	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#

0	0	29
1	0	29
2	0	29
3	0	29
4	0	29
5	0	29
6	0	29
7	0	29
8	0	29
9	0	29
10	0	29
11	0	29
12	0	29
13	0	29
14	0	29
15	0	29
16	0	29
17	0	29
18	0	29
19	0	29
20	0	29
21	0	29
22	0	29
23	1	29
24	0	29
25	0	29
26	0	29
27	0	29
28	0	29
29	0	29
30	0	29
31	0	29
32	0	29
33	0	29
34	0	29
35	0	29
36	0	29
37	0	29
38	0	29
39	0	29
40	0	29
41	0	29
42	0	29
43	0	29
44	0	29
45	0	29
46	0	29
47	0	29
48	0	29
49	1	29
50	5	29
51	13	29
52	13	29
53	12	29
54	12	29
55	116	29
56	179	29
57	237	29
58	248	29
59	325	29
60	303	29
61	339	29
62	318	29
63	461	29
64	242	29
65	355	29
66	370	29
67	403	29
68	400	29
69	358	29
70	427	29
71	378	29
72	366	29
73	498	29
74	396	29
75	415	29
76	459	29
77	402	29
78	412	29
79	443	29
80	332	29
81	418	29
82	406	29
83	447	29
84	414	29
85	432	29
86	465	29
87	353	29
88	382	29
89	457	29
90	399	29
91	445	29
92	380	29
93	424	29
94	380	29
95	546	29
96	310	29
97	423	29
98	408	29
99	405	29
100	409	29
101	326	29
102	369	29
103	336	29
104	282	29
105	350	29
106	272	29
107	284	29
108	272	29
109	237	29
110	208	29
111	162	29
112	148	29
113	174	29
114	136	29
115	110	29
116	105	29
117	83	29
118	87	29
119	62	29
120	48	29
121	49	29
122	46	29
123	26	29
124	33	29
125	29	29
126	25	29
127	40	29
128	10	29
129	22	29
130	18	29
131	24	29
132	14	29
133	26	29
134	27	29
135	13	29
136	18	29
137	20	29
138	24	29
139	21	29
140	28	29
141	34	29
142	41	29
143	33	29
144	23	29
145	40	30
146	31	30
147	35	31
148	39	31
149	35	32
150	43	33
151	46	34
152	46	35
153	56	37
154	54	39
155	48	42
156	69	46
157	62	50
158	56	55
159	103	61
160	74	68
161	90	77
162	114	88
163	105	100
164	160	114
165	123	131
166	168	150
167	192	172
168	172	197
169	256	225
170	224	257
171	312	293
172	356	333
173	390	376
174	434	424
175	466	476
176	488	532
177	575	592
178	658	655
179	775	723
180	806	793
181	760	865
182	1049	940
183	1094	1015
184	882	1091
185	1273	1167
186	1097	1242
187	1462	1315
188	1312	1384
189	1502	1450
190	1487	1511
191	1926	1565
192	1251	1614
193	1694	1655
194	1656	1688
195	1740	1712
196	1742	1728
197	1632	1734
198	1823	1731
199	1590	1719
200	1561	1698
201	1841	1668
202	1551	1630
203	1640	1585
204	1556	1532
205	1496	1474
206	1458	1410
207	1519	1342
208	1073	1270
209	1222	1196
210	1127	1121
211	1160	1045
212	940	969
213	844	894
214	916	820
215	693	749
216	641	681
217	674	616
218	494	555
219	527	497
220	401	444
221	379	394
222	337	349
223	338	308
224	205	271
225	221	237
226	204	208
227	137	181
228	144	158
229	122	138
230	118	120
231	82	105
232	62	92
233	84	81
234	59	72
235	56	64
236	55	57
237	52	52
238	44	47
239	47	43
240	33	40
241	41	38
242	37	36
243	28	34
244	35	33
245	26	32
246	22	31
247	24	31
248	25	30
249	37	30
250	36	30
251	30	29
252	21	29
253	34	29
254	32	29
255	37	29
256	17	29
257	35	29
258	31	29
259	31	29
260	36	29
261	23	29
262	28	29
263	36	29
264	22	29
265	32	29
266	25	29
267	32	29
268	28	29
269	33	29
270	29	29
271	43	29
272	27	29
273	26	29
274	40	29
275	39	29
276	26	29
277	33	29
278	38	29
279	25	29
280	28	29
281	44	29
282	39	29
283	33	29
284	28	29
285	33	29
286	32	29
287	40	29
288	30	29
289	29	29
290	29	29
291	29	29
292	33	29
293	26	29
294	31	29
295	28	29
296	24	29
297	30	29
298	33	29
299	32	29
300	34	29
301	33	29
302	30	29
303	32	29
304	27	29
305	30	29
306	20	29
307	30	29
308	32	29
309	24	29
310	35	29
311	31	29
312	20	29
313	38	29
314	33	29
315	36	29
316	27	29
317	26	29
318	31	29
319	34	29
320	23	29
321	43	29
322	34	29
323	28	29
324	37	29
325	25	29
326	32	29
327	26	29
328	32	29
329	29	29
330	36	29
331	31	29
332	31	29
333	32	29
334	34	29
335	35	29
336	23	29
337	25	29
338	28	29
339	35	29
340	28	29
341	36	29
342	31	29
343	26	29
344	27	29
345	26	29
346	29	29
347	30	29
348	31	29
349	27	29
350	33	29
351	38	29
352	29	29
353	31	29
354	27	29
355	28	29
356	35	29
357	32	29
358	27	29
359	22	29
360	27	29
361	29	29
362	25	29
363	25	29
364	42	29
365	20	29
366	22	29
367	28	29
368	22	29
369	38	29
370	26	29
371	46	29
372	23	29
373	13	29
374	29	29
375	30	29
376	19	29
377	19	29
378	27	29
379	30	29
380	23	29
381	25	29
382	33	29
383	38	29
384	17	29
385	29	29
386	26	29
387	27	29
388	24	29
389	32	29
390	29	29
391	24	29
392	26	29
393	31	29
394	26	29
395	29	29
396	33	29
397	30	29
398	21	29
399	27	29
400	21	29
401	29	29
402	23	29
403	32	29
404	26	29
405	24	29
406	28	29
407	24	29
408	19	29
409	29	29
410	15	29
411	27	29
412	25	29
413	23	29
414	22	29
415	27	29
416	24	29
417	28	29
418	17	29
419	27	29
420	28	29
421	22	29
422	34	29
423	28	29
424	17	29
425	34	29
426	20	29
427	18	29
428	18	29
429	38	29
430	27	29
431	20	29
432	20	29
433	16	29
434	30	29
435	26	29
436	23	29
437	21	29
438	28	29
439	32	29
440	26	29
441	30	29
442	23	29
443	21	29
444	20	29
445	23	29
446	23	29
447	29	29
448	16	29
449	15	29
450	18	29
451	23	29
452	23	29
453	17	29
454	22	29
455	17	29
456	26	29
457	21	29
458	23	29
459	22	29
460	26	29
461	23	29
462	19	29
463	24	29
464	20	29
465	26	29
466	22	29
467	19	29
468	23	29
469	17	29
470	35	29
471	11	29
472	23	29
473	23	29
474	22	29
475	28	29
476	29	29
477	28	29
478	23	29
479	24	29
480	13	29
481	18	29
482	22	29
483	21	29
484	27	29
485	18	29
486	25	29
487	16	29
488	23	29
489	30	29
490	15	29
491	21	29
492	31	29
493	23	29
494	16	29
495	15	29
496	13	29
497	25	29
498	15	29
499	22	29
500	17	29
501	13	29
502	24	29
503	17	29
504	15	29
505	18	29
506	10	29
507	26	29
508	11	29
509	23	29
510	19	29
511	29	29
512	14	29
513	15	29
514	19	29
515	19	29
516	17	29
517	17	29
518	19	29
519	11	29
520	17	29
521	21	29
522	16	29
523	23	29
524	24	29
525	19	29
526	23	29
527	11	29
528	19	29
529	18	29
530	17	29
531	22	29
532	14	29
533	23	29
534	19	29
535	15	29
536	19	29
537	12	29
538	12	29
539	23	29
540	12	29
541	19	29
542	15	29
543	19	29
544	14	29
545	14	29
546	11	29
547	12	29
548	17	29
549	11	29
550	20	29
551	18	29
552	15	29
553	23	29
554	13	29
555	17	29
556	17	29
557	17	29
558	25	29
559	17	29
560	19	29
561	22	29
562	17	29
563	24	29
564	17	29
565	18	29
566	10	29
567	10	29
568	11	29
569	19	29
570	14	29
571	15	29
572	8	29
573	20	29
574	17	29
575	18	29
576	11	29
577	16	29
578	15	29
579	12	29
580	16	29
581	17	29
582	16	29
583	20	29
584	18	29
585	20	29
586	14	29
587	13	29
588	18	29
589	15	29
590	10	29
591	17	29
592	5	29
593	10	29
594	12	29
595	11	29
596	18	29
597	13	29
598	13	29
599	14	29
600	16	29
601	14	29
602	12	29
603	18	29
604	10	29
605	24	29
606	13	29
607	14	29
608	14	29
609	13	29
610	16	29
611	20	29
612	10	29
613	15	29
614	18	29
615	15	29
616	9	29
617	18	29
618	13	29
619	17	29
620	14	29
621	14	29
622	12	29
623	13	29
624	13	29
625	13	29
626	19	29
627	19	29
628	18	29
629	17	29
630	14	29
631	10	29
632	14	29
633	11	29
634	13	29
635	17	29
636	14	29
637	7	29
638	11	29
639	26	29
640	11	29
641	12	29
642	12	29
643	11	29
644	11	29
645	16	29
646	21	29
647	7	29
648	15	29
649	17	29
650	14	29
651	14	29
652	13	29
653	15	29
654	10	29
655	15	29
656	10	29
657	8	29
658	20	29
659	13	29
660	17	29
661	7	29
662	16	29
663	10	29
664	10	29
665	10	29
666	11	29
667	9	29
668	15	29
669	16	29
670	15	29
671	6	29
672	11	29
673	12	29
674	11	29
675	9	29
676	23	29
677	17	29
678	15	29
679	11	29
680	12	29
681	14	29
682	10	29
683	17	29
684	11	29
685	18	29
686	11	29
687	8	29
688	5	29
689	12	29
690	10	29
691	18	29
692	16	29
693	5	29
694	11	29
695	11	29
696	7	29
697	14	29
698	12	29
699	10	29
700	11	29
701	16	29
702	9	29
703	10	29
704	10	29
705	14	29
706	13	29
707	10	29
708	10	29
709	8	29
710	11	29
711	10	29
712	10	29
713	14	29
714	10	29
715	12	29
716	11	29
717	15	29
718	11	29
719	9	29
720	8	29
721	23	29
722	10	29
723	16	29
724	7	29
725	8	29
726	4	29
727	10	29
728	13	29
729	12	29
730	8	29
731	10	29
732	6	29
733	16	29
734	15	29
735	14	29
736	5	29
737	4	29
738	12	29
739	10	29
740	12	29
741	7	29
742	9	29
743	8	29
744	8	29
745	10	29
746	6	29
747	8	29
748	12	29
749	12	29
750	11	29
751	9	29
752	7	29
753	3	29
754	8	29
755	6	29
756	12	29
757	5	29
758	7	29
759	10	29
760	13	29
761	9	29
762	11	29
763	4	29
764	9	29
765	12	29
766	7	29
767	7	29
768	7	29
769	9	29
770	15	29
771	6	29
772	10	29
773	7	29
774	10	29
775	13	29
776	7	29
777	9	29
778	5	29
779	10	29
780	6	29
781	4	29
782	9	29
783	4	29
784	13	29
785	11	29
786	7	29
787	8	29
788	15	29
789	10	29
790	9	29
791	4	29
792	7	29
793	13	29
794	11	29
795	8	29
796	5	29
797	8	29
798	10	29
799	8	29
800	7	29
801	11	29
802	6	29
803	6	29
804	9	29
805	4	29
806	8	29
807	5	29
808	9	29
809	8	29
810	3	29
811	5	29
812	8	29
813	14	29
814	10	29
815	11	29
816	9	29
817	8	29
818	5	29
819	15	29
820	6	29
821	5	29
822	5	29
823	5	29
824	5	29
825	6	29
826	8	29
827	5	29
828	1	29
829	7	29
830	5	29
831	8	29
832	5	29
833	6	29
834	7	29
835	5	29
836	12	29
837	8	29
838	2	29
839	8	29
840	11	29
841	2	29
842	6	29
843	4	29
844	7	29
845	4	29
846	5	29
847	8	29
848	9	29
849	4	29
850	7	29
851	5	29
852	11	29
853	14	29
854	8	29
855	5	29
856	6	29
857	11	29
858	7	29
859	9	29
860	6	29
861	6	29
862	7	29
863	5	29
864	7	29
865	7	29
866	8	29
867	6	29
868	3	29
869	7	29
870	8	29
871	7	29
872	6	29
873	6	29
874	3	29
875	7	29
876	6	29
877	8	29
878	6	29
879	4	29
880	3	29
881	2	29
882	9	29
883	6	29
884	4	29
885	5	29
886	6	29
887	4	29
888	6	29
889	8	29
890	9	29
891	10	29
892	6	29
893	6	29
894	5	29
895	5	29
896	4	29
897	6	29
898	7	29
899	2	29
900	5	29
901	5	29
902	0	29
903	3	29
904	5	29
905	8	29
906	3	29
907	6	29
908	4	29
909	5	29
910	7	29
911	5	29
912	3	29
913	4	29
914	7	29
915	8	29
916	6	29
917	2	29
918	9	29
919	6	29
920	3	29
921	7	29
922	5	29
923	6	29
924	9	29
925	14	29
926	8	29
927	6	29
928	2	29
929	7	29
930	6	29
931	4	29
932	8	29
933	2	29
934	5	29
935	7	29
936	5	29
937	3	29
938	5	29
939	4	29
940	3	29
941	4	29
942	4	29
943	4	29
944	4	29
945	8	29
946	3	29
947	3	29
948	8	29
949	4	29
950	5	29
951	4	29
952	4	29
953	4	29
954	4	29
955	3	29
956	6	29
957	3	29
958	4	29
959	7	29
960	7	29
961	4	29
962	5	29
963	3	29
964	6	29
965	2	29
966	4	29
967	4	29
968	6	29
969	4	29
970	3	29
971	7	29
972	6	29
973	5	29
974	6	29
975	2	29
976	2	29
977	9	29
978	2	29
979	4	29
980	3	29
981	2	29
982	7	29
983	5	29
984	5	29
985	7	29
986	6	29
987	6	29
988	3	29
989	3	29
990	1	29
991	3	29
992	3	29
993	6	29
994	5	29
995	3	29
996	4	29
997	2	29
998	3	29
999	4	29
1000	1	29
1001	2	29
1002	3	29
1003	2	29
1004	5	29
1005	3	29
1006	8	29
1007	5	29
1008	5	29
1009	1	29
1010	1	29
1011	6	29
1012	4	29
1013	3	29
1014	4	29
1015	3	29
1016	4	29
1017	4	29
1018	4	29
1019	5	29
1020	6	29
1021	3	29
1022	0	29
1023	7	29
1024	3	29
1025	6	29
1026	3	29
1027	5	29
1028	9	29
1029	8	29
1030	2	29
1031	5	29
1032	3	29
1033	2	29
1034	7	29
1035	5	29
1036	4	29
1037	6	29
1038	4	29
1039	9	29
1040	4	29
1041	4	29
1042	4	29
1043	8	29
1044	2	29
1045	3	29
1046	2	29
1047	4	29
1048	1	29
1049	10	29
1050	3	29
1051	8	29
1052	1	29
1053	5	29
1054	3	29
1055	3	29
1056	4	29
1057	3	29
1058	5	29
1059	4	29
1060	4	29
1061	5	29
1062	4	29
1063	2	29
1064	5	29
1065	6	29
1066	5	29
1067	1	29
1068	5	29
1069	2	29
1070	8	29
1071	6	29
1072	2	29
1073	5	29
1074	4	29
1075	3	29
1076	5	29
1077	3	29
1078	1	29
1079	2	29
1080	1	29
1081	5	29
1082	0	29
1083	1	29
1084	0	29
1085	2	29
1086	5	29
1087	1	29
1088	3	29
1089	2	29
1090	4	29
1091	2	29
1092	7	29
1093	1	29
1094	0	29
1095	3	29
1096	3	29
1097	5	29
1098	1	29
1099	5	29
1100	8	29
1101	8	29
1102	1	29
1103	3	29
1104	2	29
1105	3	29
1106	6	29
1107	1	29
1108	5	29
1109	1	29
1110	0	29
1111	3	29
1112	4	29
1113	7	29
1114	4	29
1115	6	29
1116	3	29
1117	6	29
1118	4	29
1119	5	29
1120	0	29
1121	3	29
1122	1	29
1123	2	29
1124	2	29
1125	3	29
1126	3	29
1127	2	29
1128	3	29
1129	2	29
1130	2	29
1131	3	29
1132	1	29
1133	0	29
1134	4	29
1135	1	29
1136	1	29
1137	7	29
1138	2	29
1139	1	29
1140	1	29
1141	2	29
1142	5	29
1143	2	29
1144	3	29
1145	3	29
1146	7	29
1147	2	29
1148	3	29
1149	5	29
1150	5	29
1151	5	29
1152	2	29
1153	1	29
1154	7	29
1155	3	29
1156	3	29
1157	0	29
1158	1	29
1159	4	29
1160	1	29
1161	8	29
1162	3	29
1163	4	29
1164	4	29
1165	2	29
1166	4	29
1167	3	29
1168	2	29
1169	1	29
1170	4	29
1171	3	29
1172	4	29
1173	3	29
1174	2	29
1175	1	29
1176	3	29
1177	8	29
1178	3	29
1179	1	29
1180	4	29
1181	3	29
1182	3	29
1183	3	29
1184	3	29
1185	0	29
1186	3	29
1187	2	29
1188	3	29
1189	3	29
1190	3	29
1191	1	29
1192	3	29
1193	5	29
1194	2	29
1195	2	29
1196	4	29
1197	5	29
1198	3	29
1199	1	29
1200	2	29
1201	3	29
1202	1	29
1203	3	29
1204	1	29
1205	3	29
1206	4	29
1207	2	29
1208	2	29
1209	1	29
1210	2	29
1211	2	29
1212	3	29
1213	5	29
1214	1	29
1215	5	29
1216	3	29
1217	5	29
1218	2	29
1219	1	29
1220	3	29
1221	3	29
1222	2	29
1223	2	29
1224	2	29
1225	1	29
1226	3	29
1227	4	29
1228	3	29
1229	2	29
1230	2	29
1231	3	29
1232	4	29
1233	7	29
1234	2	29
1235	5	29
1236	2	29
1237	3	29
1238	2	29
1239	2	29
1240	2	29
1241	5	29
1242	3	29
1243	1	29
1244	3	29
1245	3	29
1246	3	29
1247	2	29
1248	3	29
1249	1	29
1250	2	29
1251	3	29
1252	2	29
1253	1	29
1254	0	29
1255	2	29
1256	1	29
1257	5	29
1258	3	29
1259	3	29
1260	7	29
1261	3	29
1262	3	29
1263	4	29
1264	3	29
1265	3	29
1266	1	29
1267	2	29
1268	2	29
1269	1	29
1270	3	29
1271	1	29
1272	2	29
1273	2	29
1274	2	29
1275	7	29
1276	4	29
1277	3	29
1278	5	29
1279	3	29
1280	2	29
1281	1	29
1282	0	29
1283	2	29
1284	1	29
1285	3	29
1286	0	29
1287	3	29
1288	1	29
1289	3	29
1290	5	29
1291	0	29
1292	1	29
1293	2	29
1294	4	29
1295	3	29
1296	1	29
1297	1	29
1298	2	29
1299	2	29
1300	1	29
1301	2	29
1302	2	29
1303	3	29
1304	1	29
1305	3	29
1306	2	29
1307	2	29
1308	3	29
