Kanalnummer	Impulse	Fit(Impulse)	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#	Impulse/#

3565	29	28	18
3566	28	28	18
3567	26	28	18
3568	27	28	19
3569	28	28	19
3570	44	28	19
3571	27	28	20
3572	30	27	20
3573	15	27	20
3574	33	27	21
3575	26	27	21
3576	22	27	22
3577	34	27	22
3578	18	27	22
3579	39	27	23
3580	22	27	23
3581	32	27	24
3582	31	27	24
3583	23	27	24
3584	26	27	25
3585	27	27	25
3586	23	27	26
3587	36	27	26
3588	38	27	26
3589	24	27	27
3590	37	27	27
3591	21	27	28
3592	37	27	28
3593	36	26	29
3594	25	26	29
3595	29	26	30
3596	38	26	30
3597	29	26	31
3598	26	26	31
3599	27	26	32
3600	43	26	32
3601	30	26	32
3602	37	26	33
3603	43	26	33
3604	36	26	34
3605	33	26	34
3606	45	26	35
3607	16	26	35
3608	37	26	36
3609	49	26	36
3610	29	26	37
3611	49	26	38
3612	45	26	38
3613	42	26	39
3614	38	26	39
3615	42	26	40
3616	39	26	40
3617	37	26	41
3618	36	26	41
3619	34	26	42
3620	48	26	42
3621	25	26	43
3622	34	26	43
3623	29	26	44
3624	23	26	44
3625	58	26	45
3626	25	26	46
3627	39	26	46
3628	56	26	47
3629	48	26	47
3630	39	26	48
3631	32	26	48
3632	56	26	49
3633	42	26	49
3634	53	26	50
3635	64	26	51
3636	45	26	51
3637	44	26	52
3638	92	26	52
3639	38	26	53
3640	36	26	53
3641	70	26	54
3642	31	26	54
3643	60	26	55
3644	42	26	56
3645	52	26	56
3646	47	26	57
3647	45	26	57
3648	68	26	58
3649	69	26	58
3650	58	26	59
3651	48	26	59
3652	77	26	60
3653	41	26	60
3654	86	26	61
3655	35	26	61
3656	64	26	62
3657	72	26	62
3658	41	26	63
3659	59	26	63
3660	76	26	64
3661	67	26	64
3662	49	26	65
3663	51	26	65
3664	63	26	66
3665	62	26	66
3666	74	26	67
3667	73	26	67
3668	73	26	68
3669	50	26	68
3670	88	26	69
3671	40	26	69
3672	69	26	70
3673	78	26	70
3674	58	26	71
3675	85	26	71
3676	57	26	71
3677	79	26	72
3678	70	26	72
3679	67	26	73
3680	80	26	73
3681	67	26	73
3682	76	26	74
3683	70	26	74
3684	86	26	75
3685	41	26	75
3686	108	26	75
3687	61	26	76
3688	55	26	76
3689	97	26	76
3690	45	26	77
3691	72	26	77
3692	88	26	77
3693	106	26	78
3694	55	26	78
3695	75	26	78
3696	61	26	78
3697	75	26	79
3698	90	26	79
3699	104	26	79
3700	88	26	79
3701	63	26	80
3702	127	26	80
3703	79	26	80
3704	56	26	80
3705	90	26	80
3706	58	26	81
3707	98	26	81
3708	88	26	81
3709	71	26	81
3710	90	26	81
3711	63	26	81
3712	68	26	82
3713	84	26	82
3714	72	26	82
3715	76	26	82
3716	122	26	82
3717	71	26	82
3718	96	26	82
3719	58	26	82
3720	102	26	82
3721	111	26	82
3722	64	26	82
3723	66	26	82
3724	107	26	82
3725	95	26	82
3726	78	26	82
3727	54	26	82
3728	93	26	82
3729	75	26	82
3730	89	26	82
3731	90	26	82
3732	77	26	82
3733	66	26	82
3734	114	26	82
3735	48	26	81
3736	77	26	81
3737	119	26	81
3738	71	26	81
3739	116	26	81
3740	89	26	81
3741	82	26	81
3742	92	26	80
3743	84	26	80
3744	61	26	80
3745	78	26	80
3746	75	26	80
3747	82	26	79
3748	103	26	79
3749	68	26	79
3750	108	26	79
3751	66	26	78
3752	70	26	78
3753	90	26	78
3754	63	26	77
3755	66	26	77
3756	103	26	77
3757	72	26	76
3758	79	26	76
3759	42	26	76
3760	84	26	75
3761	74	26	75
3762	85	26	75
3763	104	26	74
3764	74	26	74
3765	42	26	74
3766	102	26	73
3767	76	26	73
3768	58	26	72
3769	87	26	72
3770	56	26	72
3771	77	26	71
3772	72	26	71
3773	70	26	70
3774	69	26	70
3775	54	26	69
3776	79	26	69
3777	73	26	69
3778	71	26	68
3779	65	26	68
3780	93	26	67
3781	41	26	67
3782	79	26	66
3783	42	26	66
3784	70	26	65
3785	87	26	65
3786	54	26	64
3787	57	26	64
3788	77	26	63
3789	60	26	63
3790	67	26	62
3791	48	26	62
3792	46	26	61
3793	56	26	61
3794	63	26	60
3795	64	26	60
3796	67	26	59
3797	44	26	58
3798	62	26	58
3799	33	26	57
3800	65	26	57
3801	65	26	56
3802	27	26	56
3803	51	26	55
3804	68	26	55
3805	49	26	54
3806	61	26	54
3807	62	26	53
3808	42	26	52
3809	42	26	52
3810	64	26	51
3811	55	26	51
3812	64	26	50
3813	36	26	50
3814	59	26	49
3815	49	26	49
3816	37	26	48
3817	64	26	47
3818	38	26	47
3819	36	26	46
3820	45	26	46
3821	45	26	45
3822	51	26	45
3823	40	26	44
3824	36	26	44
3825	38	26	43
3826	42	26	43
3827	55	26	42
3828	43	26	41
3829	23	26	41
3830	54	26	40
3831	35	26	40
3832	30	26	39
3833	47	26	39
3834	24	26	38
3835	31	26	38
3836	50	26	37
3837	31	26	37
3838	34	26	36
3839	37	26	36
3840	47	26	35
3841	35	26	35
3842	40	26	34
3843	38	26	34
3844	33	26	33
3845	26	26	33
3846	40	26	32
3847	14	26	32
3848	22	26	31
3849	41	26	31
3850	21	26	30
3851	31	26	30
3852	35	26	29
3853	34	26	29
3854	30	26	28
3855	16	26	28
3856	28	26	28
3857	13	26	27
3858	25	26	27
3859	35	26	26
3860	33	26	26
3861	18	26	25
3862	29	26	25
3863	20	26	25
3864	32	26	24
3865	33	26	24
3866	10	26	23
3867	31	26	23
3868	20	26	22
3869	25	26	22
3870	22	26	22
3871	20	26	21
3872	30	26	21
3873	19	26	21
3874	18	26	20
3875	16	26	20
3876	26	26	19
3877	9	26	19
3878	19	26	19
3879	23	26	18
3880	10	26	18
3881	16	26	18
3882	18	26	17
3883	16	26	17
3884	30	26	17
3885	18	26	16
3886	14	26	16
3887	12	26	16
3888	15	26	16
3889	12	26	15
3890	17	26	15
3891	20	26	15
3892	10	26	14
3893	10	26	14
3894	17	26	14
3895	13	26	14
3896	13	26	13
3897	22	26	13
3898	15	26	13
3899	21	26	12
3900	11	26	12
3901	6	26	12
3902	10	26	12
3903	7	26	11
3904	9	26	11
3905	6	26	11
3906	9	26	11
3907	10	26	11
3908	12	26	10
3909	7	26	10
3910	17	26	10
3911	4	26	10
3912	8	26	9
3913	12	26	9
3914	3	26	9
3915	6	26	9
3916	17	26	9
3917	6	26	9
3918	9	26	8
3919	7	26	8
3920	12	26	8
3921	2	26	8
3922	0	26	8
3923	4	26	7
3924	6	26	7
3925	6	26	7
3926	11	26	7
3927	1	26	7
3928	7	26	7
3929	8	26	7
3930	8	26	6
3931	10	26	6
3932	15	26	6
3933	4	26	6
3934	4	26	6
3935	5	26	6
3936	1	26	6
3937	4	26	6
3938	4	26	5
3939	3	26	5
3940	9	26	5
3941	1	26	5
3942	4	26	5
3943	0	26	5
3944	1	26	5
3945	4	26	5
3946	3	26	5
3947	2	26	4
3948	3	26	4
3949	1	26	4
3950	7	26	4
3951	2	26	4
3952	2	26	4
3953	8	26	4
3954	2	26	4
3955	8	26	4
3956	1	26	4
3957	0	26	4
3958	1	26	4
3959	5	26	3
3960	4	26	3
3961	2	26	3
3962	2	26	3
3963	4	26	3
3964	5	26	3
3965	1	26	3
3966	1	26	3
3967	4	26	3
3968	3	26	3
3969	1	26	3
3970	2	26	3
3971	0	26	3
3972	4	26	3
3973	2	26	3
3974	3	26	3
3975	0	26	3
3976	1	26	2
3977	5	26	2
3978	0	26	2
3979	1	26	2
3980	2	26	2
3981	1	26	2
3982	3	26	2
3983	1	26	2
3984	3	26	2
