Kanalnummer	Impulse	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#

0	0	5
1	0	5
2	0	5
3	0	5
4	0	5
5	0	5
6	0	5
7	0	5
8	0	5
9	0	5
10	0	5
11	0	5
12	0	5
13	0	5
14	0	5
15	0	5
16	0	5
17	0	5
18	0	5
19	0	5
20	0	5
21	0	5
22	0	5
23	0	5
24	0	5
25	0	5
26	0	5
27	0	5
28	0	5
29	0	5
30	1	5
31	0	5
32	0	5
33	1	5
34	0	5
35	0	5
36	0	5
37	0	5
38	0	5
39	0	5
40	0	5
41	0	5
42	0	5
43	0	5
44	0	5
45	0	5
46	0	5
47	0	5
48	0	5
49	0	5
50	1	5
51	1	5
52	3	5
53	2	5
54	4	5
55	29	5
56	35	5
57	58	5
58	52	5
59	64	5
60	55	5
61	59	5
62	67	5
63	75	5
64	50	5
65	61	5
66	58	5
67	57	5
68	63	5
69	59	5
70	75	5
71	55	5
72	63	5
73	87	5
74	49	5
75	55	5
76	61	5
77	68	5
78	72	5
79	64	5
80	47	5
81	50	5
82	55	5
83	81	5
84	74	5
85	64	5
86	82	5
87	74	5
88	55	5
89	88	5
90	79	5
91	94	5
92	62	5
93	85	5
94	72	5
95	99	5
96	50	5
97	63	5
98	78	5
99	68	5
100	67	5
101	69	5
102	70	5
103	69	5
104	46	5
105	64	5
106	72	5
107	74	5
108	62	5
109	71	5
110	62	5
111	79	5
112	50	5
113	68	5
114	66	5
115	59	5
116	61	5
117	48	5
118	63	5
119	79	5
120	62	5
121	60	5
122	48	5
123	64	5
124	65	5
125	61	5
126	60	5
127	93	5
128	48	5
129	71	5
130	63	5
131	67	5
132	80	5
133	70	5
134	74	5
135	65	5
136	57	5
137	69	5
138	59	5
139	58	5
140	54	5
141	60	5
142	63	5
143	77	5
144	72	5
145	83	5
146	64	5
147	68	5
148	67	5
149	64	5
150	65	5
151	69	5
152	59	5
153	73	5
154	72	5
155	84	5
156	57	5
157	60	5
158	58	5
159	89	5
160	70	5
161	67	5
162	67	5
163	69	5
164	73	5
165	77	5
166	79	5
167	73	5
168	68	5
169	79	5
170	77	5
171	74	5
172	89	5
173	72	5
174	83	5
175	76	5
176	68	5
177	76	5
178	81	5
179	89	5
180	78	5
181	79	5
182	87	5
183	78	5
184	78	5
185	91	5
186	82	5
187	95	5
188	93	5
189	86	5
190	89	5
191	103	5
192	61	5
193	92	5
194	81	5
195	104	5
196	96	5
197	86	5
198	79	5
199	78	5
200	100	5
201	109	5
202	88	5
203	90	5
204	90	5
205	105	5
206	84	5
207	92	5
208	79	5
209	88	5
210	85	5
211	104	5
212	96	5
213	100	5
214	98	5
215	77	5
216	92	5
217	111	5
218	84	5
219	85	5
220	106	5
221	95	5
222	105	5
223	120	5
224	64	5
225	90	5
226	87	5
227	88	5
228	122	5
229	100	5
230	121	5
231	110	5
232	87	5
233	112	5
234	115	5
235	103	5
236	118	5
237	124	5
238	121	5
239	106	5
240	75	5
241	98	5
242	96	5
243	109	5
244	104	5
245	110	5
246	122	5
247	104	5
248	93	5
249	114	5
250	90	5
251	124	5
252	114	5
253	113	5
254	103	5
255	146	5
256	49	5
257	105	5
258	109	5
259	109	5
260	109	5
261	95	5
262	121	5
263	102	5
264	96	5
265	104	5
266	79	5
267	105	5
268	106	5
269	124	5
270	99	5
271	120	5
272	111	5
273	122	5
274	118	5
275	126	5
276	103	5
277	101	5
278	92	5
279	99	5
280	101	5
281	167	5
282	104	5
283	120	5
284	103	5
285	99	5
286	109	5
287	155	5
288	100	5
289	93	5
290	104	5
291	99	5
292	117	5
293	104	5
294	131	5
295	108	5
296	89	5
297	141	5
298	110	5
299	102	5
300	107	5
301	121	5
302	104	5
303	99	5
304	92	5
305	94	5
306	101	5
307	103	5
308	90	5
309	98	5
310	108	5
311	111	5
312	105	5
313	113	5
314	106	5
315	123	5
316	106	5
317	105	5
318	92	5
319	151	5
320	76	5
321	119	5
322	94	5
323	105	5
324	119	5
325	74	5
326	116	5
327	111	5
328	101	5
329	117	5
330	97	5
331	93	5
332	107	5
333	133	5
334	117	5
335	93	5
336	96	5
337	97	5
338	119	5
339	126	5
340	97	5
341	104	5
342	116	5
343	90	5
344	102	5
345	120	5
346	100	5
347	110	5
348	102	5
349	115	5
350	98	5
351	142	5
352	91	5
353	96	5
354	123	5
355	113	5
356	123	5
357	118	5
358	123	5
359	82	5
360	106	5
361	109	5
362	98	5
363	115	5
364	122	5
365	105	5
366	117	5
367	119	5
368	101	5
369	106	5
370	114	5
371	109	5
372	100	5
373	93	5
374	132	5
375	121	5
376	101	5
377	101	5
378	97	5
379	121	5
380	104	5
381	116	5
382	109	5
383	136	5
384	91	5
385	108	5
386	123	5
387	124	5
388	123	5
389	120	5
390	108	5
391	102	5
392	103	5
393	130	5
394	94	5
395	94	5
396	129	5
397	112	5
398	108	5
399	105	5
400	124	5
401	107	5
402	106	5
403	117	5
404	118	5
405	98	5
406	117	5
407	105	5
408	110	5
409	130	5
410	108	5
411	127	5
412	85	5
413	108	5
414	111	5
415	143	5
416	100	5
417	111	5
418	118	5
419	98	5
420	106	5
421	86	5
422	86	5
423	90	5
424	100	5
425	101	5
426	90	5
427	113	5
428	104	5
429	93	5
430	89	5
431	93	5
432	107	5
433	105	5
434	123	5
435	122	5
436	108	5
437	92	5
438	101	5
439	94	5
440	79	5
441	125	5
442	104	5
443	114	5
444	111	5
445	109	5
446	108	5
447	126	5
448	82	5
449	104	5
450	105	5
451	96	5
452	120	5
453	82	5
454	96	5
455	84	5
456	96	5
457	96	5
458	87	5
459	81	5
460	97	5
461	101	5
462	102	5
463	121	5
464	91	5
465	106	5
466	112	5
467	87	5
468	88	5
469	94	5
470	118	5
471	98	5
472	116	5
473	122	5
474	82	5
475	110	5
476	132	5
477	99	5
478	103	5
479	126	5
480	84	5
481	83	5
482	111	5
483	103	5
484	117	5
485	104	5
486	126	5
487	111	5
488	88	5
489	128	5
490	83	5
491	103	5
492	100	5
493	90	5
494	100	5
495	97	5
496	97	5
497	106	5
498	108	5
499	91	5
500	110	5
501	100	5
502	111	5
503	88	5
504	106	5
505	110	5
506	106	5
507	114	5
508	110	5
509	118	5
510	94	5
511	123	5
512	65	5
513	104	5
514	104	5
515	121	5
516	131	5
517	85	5
518	99	5
519	109	5
520	105	5
521	107	5
522	93	5
523	114	5
524	91	5
525	117	5
526	105	5
527	98	5
528	81	5
529	108	5
530	120	5
531	124	5
532	114	5
533	108	5
534	112	5
535	102	5
536	97	5
537	105	5
538	105	5
539	106	5
540	107	5
541	102	5
542	113	5
543	148	5
544	81	5
545	124	5
546	95	5
547	119	5
548	127	5
549	90	5
550	114	5
551	118	5
552	85	5
553	133	5
554	125	5
555	115	5
556	126	5
557	149	5
558	106	5
559	111	5
560	126	5
561	126	5
562	113	5
563	121	5
564	119	5
565	108	5
566	145	5
567	112	5
568	114	5
569	144	5
570	100	5
571	145	5
572	126	5
573	131	5
574	119	5
575	160	5
576	114	5
577	112	5
578	124	5
579	127	5
580	143	5
581	136	5
582	160	5
583	109	5
584	133	5
585	158	5
586	133	5
587	131	5
588	154	5
589	144	5
590	122	5
591	146	5
592	95	5
593	148	5
594	142	5
595	137	5
596	119	5
597	113	5
598	161	5
599	112	5
600	95	5
601	152	5
602	119	5
603	148	5
604	125	5
605	143	5
606	132	5
607	166	5
608	112	5
609	153	5
610	139	5
611	114	5
612	133	5
613	116	5
614	149	5
615	117	5
616	137	5
617	165	5
618	91	5
619	113	5
620	120	5
621	116	5
622	125	5
623	139	5
624	89	5
625	120	5
626	115	5
627	128	5
628	121	5
629	111	5
630	135	5
631	94	5
632	109	5
633	115	5
634	118	5
635	111	5
636	122	5
637	114	5
638	104	5
639	166	5
640	67	5
641	111	5
642	102	5
643	111	5
644	133	5
645	102	5
646	125	5
647	117	5
648	95	5
649	126	5
650	90	5
651	91	5
652	104	5
653	114	5
654	96	5
655	94	5
656	107	5
657	107	5
658	113	5
659	110	5
660	102	5
661	95	5
662	121	5
663	80	5
664	93	5
665	122	5
666	83	5
667	98	5
668	103	5
669	95	5
670	96	5
671	120	5
672	78	5
673	105	5
674	103	5
675	88	5
676	103	5
677	103	5
678	102	5
679	106	5
680	102	5
681	123	5
682	105	5
683	102	5
684	90	5
685	97	5
686	95	5
687	78	5
688	83	5
689	93	5
690	89	5
691	104	5
692	93	5
693	79	5
694	133	5
695	95	5
696	72	5
697	86	5
698	72	5
699	121	5
700	98	5
701	78	5
702	85	5
703	97	5
704	79	5
705	88	5
706	87	5
707	87	5
708	87	5
709	76	5
710	108	5
711	59	5
712	81	5
713	103	5
714	74	5
715	72	5
716	79	5
717	86	5
718	93	5
719	93	5
720	63	5
721	91	5
722	79	5
723	98	5
724	90	5
725	78	5
726	94	5
727	67	5
728	84	5
729	101	5
730	72	5
731	83	5
732	87	5
733	78	5
734	74	5
735	116	5
736	63	5
737	74	5
738	60	5
739	91	5
740	87	5
741	60	5
742	86	5
743	77	5
744	76	5
745	82	5
746	79	5
747	81	5
748	97	5
749	70	5
750	76	5
751	66	5
752	71	5
753	66	5
754	74	5
755	96	5
756	87	5
757	64	5
758	100	5
759	78	5
760	54	5
761	80	5
762	69	5
763	81	5
764	75	5
765	81	5
766	76	5
767	95	5
768	54	5
769	92	5
770	59	5
771	83	5
772	88	5
773	75	5
774	97	5
775	74	5
776	63	5
777	76	5
778	71	5
779	58	5
780	84	5
781	66	5
782	68	5
783	72	5
784	66	5
785	74	5
786	73	5
787	84	5
788	61	5
789	66	5
790	69	5
791	64	5
792	68	5
793	84	5
794	79	5
795	71	5
796	72	5
797	76	5
798	77	5
799	101	5
800	69	5
801	70	5
802	77	5
803	63	5
804	91	5
805	57	5
806	88	5
807	61	5
808	50	5
809	91	5
810	55	5
811	71	5
812	83	5
813	70	5
814	58	5
815	63	5
816	59	5
817	82	5
818	76	5
819	80	5
820	64	5
821	69	5
822	95	5
823	64	5
824	64	5
825	76	5
826	58	5
827	80	5
828	78	5
829	59	5
830	53	5
831	84	5
832	47	5
833	58	5
834	67	5
835	66	5
836	83	5
837	69	5
838	68	5
839	58	5
840	78	5
841	80	5
842	62	5
843	62	5
844	63	5
845	70	5
846	68	5
847	72	5
848	67	5
849	65	5
850	41	5
851	63	5
852	69	5
853	56	5
854	75	5
855	68	5
856	59	5
857	73	5
858	73	5
859	74	5
860	54	5
861	67	5
862	57	5
863	77	5
864	71	5
865	61	5
866	64	5
867	54	5
868	67	5
869	57	5
870	70	5
871	48	5
872	62	5
873	86	5
874	60	5
875	68	5
876	72	5
877	59	5
878	65	5
879	50	5
880	49	5
881	62	5
882	78	5
883	58	5
884	69	5
885	55	5
886	61	5
887	70	5
888	54	5
889	75	5
890	67	5
891	65	5
892	67	5
893	52	5
894	67	5
895	85	5
896	50	5
897	47	5
898	61	5
899	55	5
900	66	5
901	50	5
902	76	5
903	47	5
904	56	5
905	82	5
906	76	5
907	57	5
908	84	5
909	63	5
910	53	5
911	58	5
912	49	5
913	75	5
914	62	5
915	59	5
916	42	5
917	65	5
918	72	5
919	56	5
920	54	5
921	75	5
922	70	5
923	72	5
924	69	5
925	67	5
926	70	5
927	79	5
928	45	5
929	69	5
930	66	5
931	48	5
932	59	5
933	56	5
934	82	5
935	56	5
936	67	5
937	57	5
938	42	5
939	48	5
940	86	5
941	54	5
942	62	5
943	61	5
944	70	5
945	53	5
946	62	5
947	59	5
948	78	5
949	59	5
950	65	5
951	59	5
952	47	5
953	63	5
954	48	5
955	66	5
956	66	5
957	57	5
958	63	5
959	59	5
960	49	5
961	63	5
962	62	5
963	68	5
964	66	5
965	49	5
966	61	5
967	39	5
968	69	5
969	53	5
970	52	5
971	49	5
972	53	5
973	56	5
974	56	5
975	55	5
976	55	5
977	60	5
978	64	5
979	62	5
980	54	5
981	47	5
982	64	5
983	45	5
984	65	5
985	63	5
986	51	5
987	61	5
988	64	5
989	45	5
990	54	5
991	66	5
992	46	5
993	56	5
994	49	5
995	52	5
996	69	5
997	50	5
998	72	5
999	42	5
1000	55	5
1001	74	5
1002	50	5
1003	50	5
1004	78	5
1005	46	5
1006	50	5
1007	64	5
1008	56	5
1009	53	5
1010	51	5
1011	63	5
1012	52	5
1013	56	5
1014	69	5
1015	47	5
1016	54	5
1017	82	5
1018	56	5
1019	52	5
1020	60	5
1021	51	5
1022	49	5
1023	71	5
1024	26	5
1025	46	5
1026	55	5
1027	48	5
1028	66	5
1029	46	5
1030	76	5
1031	44	5
1032	53	5
1033	55	5
1034	55	5
1035	66	5
1036	57	5
1037	57	5
1038	43	5
1039	66	5
1040	39	5
1041	66	5
1042	50	5
1043	71	5
1044	61	5
1045	55	5
1046	60	5
1047	46	5
1048	47	5
1049	50	5
1050	47	5
1051	70	5
1052	45	5
1053	56	5
1054	58	5
1055	51	5
1056	49	5
1057	54	5
1058	59	5
1059	58	5
1060	71	5
1061	52	5
1062	58	5
1063	74	5
1064	52	5
1065	60	5
1066	53	5
1067	58	5
1068	64	5
1069	53	5
1070	57	5
1071	56	5
1072	48	5
1073	54	5
1074	66	5
1075	49	5
1076	50	5
1077	41	5
1078	65	5
1079	59	5
1080	38	5
1081	53	5
1082	40	5
1083	85	5
1084	50	5
1085	60	5
1086	59	5
1087	71	5
1088	42	5
1089	66	5
1090	47	5
1091	42	5
1092	57	5
1093	52	5
1094	69	5
1095	41	5
1096	60	5
1097	66	5
1098	38	5
1099	57	5
1100	49	5
1101	50	5
1102	56	5
1103	53	5
1104	41	5
1105	49	5
1106	70	5
1107	76	5
1108	53	5
1109	51	5
1110	65	5
1111	48	5
1112	60	5
1113	58	5
1114	59	5
1115	61	5
1116	41	5
1117	57	5
1118	39	5
1119	73	5
1120	45	5
1121	60	5
1122	54	5
1123	63	5
1124	58	5
1125	43	5
1126	64	5
1127	49	5
1128	54	5
1129	59	5
1130	58	5
1131	54	5
1132	66	5
1133	49	5
1134	50	5
1135	56	5
1136	43	5
1137	80	5
1138	45	5
1139	49	5
1140	47	5
1141	55	5
1142	61	5
1143	61	5
1144	42	5
1145	70	5
1146	36	5
1147	68	5
1148	51	5
1149	61	5
1150	54	5
1151	65	5
1152	36	5
1153	43	5
1154	56	5
1155	55	5
1156	56	5
1157	54	5
1158	55	5
1159	52	5
1160	39	5
1161	60	5
1162	47	5
1163	62	5
1164	68	5
1165	55	5
1166	50	5
1167	53	5
1168	39	5
1169	52	5
1170	49	5
1171	42	5
1172	55	5
1173	45	5
1174	54	5
1175	52	5
1176	58	5
1177	60	5
1178	44	5
1179	64	5
1180	51	5
1181	67	5
1182	47	5
1183	65	5
1184	44	5
1185	39	5
1186	55	5
1187	56	5
1188	78	5
1189	57	5
1190	59	5
1191	55	5
1192	53	5
1193	76	5
1194	46	5
1195	47	5
1196	60	5
1197	53	5
1198	54	5
1199	55	5
1200	48	5
1201	60	5
1202	58	5
1203	52	5
1204	49	5
1205	48	5
1206	61	5
1207	54	5
1208	50	5
1209	63	5
1210	49	5
1211	58	5
1212	54	5
1213	36	5
1214	75	5
1215	61	5
1216	42	5
1217	45	5
1218	57	5
1219	62	5
1220	90	5
1221	58	5
1222	68	5
1223	52	5
1224	64	5
1225	59	5
1226	51	5
1227	51	5
1228	56	5
1229	61	5
1230	60	5
1231	56	5
1232	33	5
1233	62	5
1234	56	5
1235	59	5
1236	55	5
1237	49	5
1238	72	5
1239	45	5
1240	58	5
1241	56	5
1242	61	5
1243	52	5
1244	36	5
1245	49	5
1246	57	5
1247	74	5
1248	38	5
1249	43	5
1250	63	5
1251	46	5
1252	59	5
1253	53	5
1254	67	5
1255	47	5
1256	46	5
1257	68	5
1258	48	5
1259	63	5
1260	45	5
1261	58	5
1262	54	5
1263	47	5
1264	41	5
1265	51	5
1266	52	5
1267	59	5
1268	50	5
1269	46	5
1270	75	5
1271	53	5
1272	43	5
1273	59	5
1274	53	5
1275	62	5
1276	63	5
1277	49	5
1278	70	5
1279	55	5
1280	37	5
1281	51	5
1282	49	5
1283	50	5
1284	67	5
1285	43	5
1286	52	5
1287	57	5
1288	56	5
1289	74	5
1290	51	5
1291	68	5
1292	60	5
1293	59	5
1294	52	5
1295	44	5
1296	51	5
1297	49	5
1298	58	5
1299	70	5
1300	55	5
1301	42	5
1302	57	5
1303	52	5
1304	39	5
1305	56	5
1306	47	5
1307	64	5
1308	49	5
1309	56	5
1310	41	5
1311	72	5
1312	58	5
1313	53	5
1314	53	5
1315	55	5
1316	47	5
