Kanalnummer	Impulse	Fit(Impulse)	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#	Impulse/#

0	0	18	4
1	0	18	4
2	0	18	4
3	0	18	4
4	0	18	4
5	0	18	4
6	0	18	4
7	0	18	4
8	0	18	4
9	0	18	4
10	0	18	4
11	0	18	4
12	1	18	4
13	0	18	4
14	0	18	4
15	0	18	4
16	0	18	4
17	0	18	4
18	0	18	4
19	0	18	4
20	0	18	4
21	0	18	4
22	0	18	4
23	0	18	4
24	0	18	4
25	0	18	4
26	0	18	4
27	0	18	4
28	1	18	4
29	0	18	4
30	0	18	4
31	0	18	4
32	0	18	4
33	0	18	4
34	0	18	4
35	0	18	4
36	0	18	4
37	0	18	4
38	0	18	4
39	0	18	4
40	0	18	4
41	0	18	4
42	0	18	4
43	0	18	4
44	0	18	4
45	0	18	4
46	0	18	4
47	0	18	4
48	0	18	4
49	0	18	4
50	2	18	4
51	8	18	4
52	4	18	4
53	4	18	4
54	2	18	4
55	54	18	4
56	56	18	4
57	87	18	4
58	83	18	4
59	83	18	4
60	80	18	4
61	100	18	4
62	101	18	4
63	96	18	4
64	60	18	4
65	91	18	4
66	111	18	4
67	103	18	4
68	97	18	4
69	98	18	4
70	119	18	4
71	97	18	4
72	83	18	4
73	104	18	4
74	89	18	4
75	92	18	4
76	102	18	4
77	118	18	4
78	97	18	4
79	118	18	4
80	77	18	4
81	104	18	4
82	103	18	4
83	110	18	4
84	116	18	4
85	96	18	4
86	117	18	4
87	95	18	4
88	95	18	4
89	113	18	4
90	102	18	4
91	103	18	4
92	97	18	4
93	114	18	4
94	122	18	4
95	155	18	4
96	88	18	4
97	109	18	4
98	114	18	4
99	104	18	4
100	105	18	4
101	93	18	4
102	117	18	4
103	104	18	4
104	90	18	4
105	121	18	4
106	113	18	4
107	109	18	4
108	92	18	4
109	110	18	4
110	98	18	4
111	97	18	4
112	93	18	4
113	104	18	4
114	108	18	4
115	107	18	4
116	87	18	4
117	104	18	4
118	117	18	4
119	89	18	4
120	92	18	4
121	109	18	4
122	90	18	4
123	112	18	4
124	89	18	4
125	107	18	4
126	102	18	4
127	131	18	4
128	58	18	4
129	106	18	4
130	89	18	4
131	114	18	4
132	94	18	4
133	99	18	4
134	99	18	4
135	107	18	4
136	83	18	4
137	118	18	4
138	111	18	4
139	103	18	4
140	114	18	4
141	102	18	4
142	83	18	4
143	110	18	4
144	86	18	4
145	95	18	4
146	104	18	4
147	150	18	4
148	102	18	4
149	104	18	4
150	109	18	4
151	108	18	4
152	89	18	4
153	124	18	4
154	88	18	4
155	119	18	4
156	103	18	4
157	118	18	4
158	132	18	4
159	152	18	4
160	79	18	4
161	108	18	4
162	117	18	4
163	117	18	4
164	108	18	4
165	123	18	4
166	120	18	4
167	104	18	4
168	91	18	4
169	116	18	4
170	109	18	4
171	110	18	4
172	120	18	4
173	132	18	4
174	125	18	4
175	115	18	4
176	105	18	4
177	110	18	4
178	91	18	4
179	115	18	4
180	121	18	4
181	113	18	4
182	108	18	4
183	130	18	4
184	94	18	4
185	125	18	4
186	112	18	4
187	113	18	4
188	133	18	4
189	131	18	4
190	133	18	4
191	143	18	4
192	96	18	4
193	138	18	4
194	110	18	4
195	127	18	4
196	127	18	4
197	118	18	4
198	139	18	4
199	123	18	4
200	94	18	4
201	126	18	4
202	106	18	4
203	130	18	4
204	125	18	4
205	124	18	4
206	122	18	4
207	125	18	4
208	98	18	4
209	132	18	4
210	123	18	4
211	138	18	4
212	146	18	4
213	135	18	4
214	144	18	4
215	103	18	4
216	92	18	4
217	147	18	4
218	109	18	4
219	150	18	4
220	120	18	4
221	150	18	4
222	133	18	4
223	170	18	4
224	106	18	4
225	116	18	4
226	153	18	4
227	135	18	4
228	137	18	4
229	116	18	4
230	160	18	4
231	136	18	4
232	139	18	4
233	137	18	4
234	121	18	4
235	112	18	4
236	128	18	4
237	145	18	4
238	148	18	4
239	157	18	4
240	120	18	4
241	153	18	4
242	151	18	4
243	163	18	4
244	140	18	4
245	147	18	4
246	178	18	4
247	143	18	4
248	121	18	4
249	146	18	4
250	139	18	4
251	162	18	4
252	137	18	4
253	147	18	4
254	147	18	4
255	188	18	4
256	84	18	4
257	118	18	4
258	141	18	4
259	149	18	4
260	159	18	4
261	133	18	4
262	175	18	4
263	140	18	4
264	138	18	4
265	170	18	4
266	133	18	4
267	151	18	4
268	161	18	4
269	139	18	4
270	152	18	4
271	139	18	4
272	120	18	4
273	149	18	4
274	140	18	4
275	169	18	4
276	128	18	4
277	121	18	4
278	141	18	4
279	125	18	4
280	131	18	4
281	176	18	4
282	150	18	4
283	148	18	4
284	125	18	4
285	144	18	4
286	155	18	4
287	173	18	4
288	103	18	4
289	149	18	4
290	147	18	4
291	137	18	4
292	161	18	4
293	126	18	4
294	159	18	4
295	141	18	4
296	123	18	4
297	168	18	4
298	153	18	4
299	136	18	4
300	157	18	4
301	127	18	4
302	142	18	4
303	136	18	4
304	138	18	4
305	128	18	4
306	135	18	4
307	166	18	4
308	130	18	4
309	135	18	4
310	148	18	4
311	134	18	4
312	129	18	4
313	166	18	4
314	127	18	4
315	151	18	4
316	121	18	4
317	145	18	4
318	119	18	4
319	192	18	4
320	112	18	4
321	133	18	4
322	124	18	4
323	142	18	4
324	141	18	4
325	139	18	4
326	151	18	4
327	123	18	4
328	123	18	4
329	183	18	4
330	120	18	4
331	136	18	4
332	138	18	4
333	156	18	4
334	153	18	4
335	156	18	4
336	135	18	4
337	137	18	4
338	140	18	4
339	166	18	4
340	142	18	4
341	116	18	4
342	150	18	4
343	108	18	4
344	122	18	4
345	158	18	4
346	105	18	4
347	142	18	4
348	131	18	4
349	142	18	4
350	154	18	4
351	171	18	4
352	116	18	4
353	148	18	4
354	141	18	4
355	120	18	4
356	152	18	4
357	130	18	4
358	138	18	4
359	143	18	4
360	135	18	4
361	138	18	4
362	110	18	4
363	120	18	4
364	155	18	4
365	148	18	4
366	144	18	4
367	117	18	4
368	125	18	4
369	134	18	4
370	145	18	4
371	156	18	4
372	137	18	4
373	135	18	4
374	144	18	4
375	132	18	4
376	95	18	4
377	162	18	4
378	145	18	4
379	157	18	4
380	121	18	4
381	156	18	4
382	136	18	4
383	146	18	4
384	112	18	4
385	138	18	4
386	121	18	4
387	143	18	4
388	150	18	4
389	125	18	4
390	141	18	4
391	122	18	4
392	145	18	4
393	138	18	4
394	138	18	4
395	140	18	4
396	153	18	4
397	129	18	4
398	135	18	4
399	143	18	4
400	136	18	4
401	151	18	4
402	144	18	4
403	167	18	4
404	133	18	4
405	127	18	4
406	136	18	4
407	129	18	4
408	129	18	4
409	126	18	4
410	117	18	4
411	149	18	4
412	139	18	4
413	139	18	4
414	137	18	4
415	160	18	4
416	125	18	4
417	149	18	4
418	122	18	4
419	117	18	4
420	164	18	4
421	132	18	4
422	164	18	4
423	141	18	4
424	98	18	4
425	147	18	4
426	129	18	4
427	129	18	4
428	164	18	4
429	145	18	4
430	128	18	4
431	144	18	4
432	114	18	4
433	139	18	4
434	131	18	4
435	163	18	4
436	154	18	4
437	119	18	4
438	143	18	4
439	119	18	4
440	111	18	4
441	131	18	4
442	121	18	4
443	161	18	4
444	151	18	4
445	134	18	4
446	138	18	4
447	152	18	4
448	91	18	4
449	122	18	4
450	154	18	4
451	130	18	4
452	160	18	4
453	140	18	4
454	166	18	4
455	102	18	4
456	121	18	4
457	155	18	4
458	137	18	4
459	121	18	4
460	182	18	4
461	113	18	4
462	133	18	4
463	135	18	4
464	101	18	4
465	146	18	4
466	150	18	4
467	138	18	4
468	155	18	4
469	114	18	4
470	140	18	4
471	111	18	4
